"","Country","Cluster"
"1","Afghanistan",2
"2","Albania",1
"3","Algeria",2
"4","Angola",1
"5","Argentina",2
"6","Armenia",1
"7","Australia",3
"8","Austria",3
"9","Azerbaijan",1
"10","Bahrain",2
"11","Bangladesh",1
"12","Belarus",4
"13","Belgium",3
"14","Benin",1
"15","Bolivia",1
"16","Bosnia and Herzegovina",4
"17","Botswana",4
"18","Brazil",2
"19","Bulgaria",1
"20","Burkina Faso",1
"21","Cambodia",1
"22","Cameroon",1
"23","Canada",3
"24","Chad",1
"25","Chile",3
"26","China",1
"27","Colombia",1
"28","Comoros",1
"29","Congo",1
"30","Costa Rica",1
"31","Croatia",4
"32","Cyprus",3
"33","Czech Republic",1
"34","Denmark",3
"35","Dominican Republic",1
"36","Ecuador",1
"37","Egypt, Arab Rep.",2
"38","El Salvador",1
"39","Estonia",4
"40","Ethiopia",1
"41","Finland",3
"42","France",3
"43","Gabon",1
"44","Georgia",1
"45","Germany",3
"46","Ghana",1
"47","Greece",3
"48","Guatemala",1
"49","Guinea",1
"50","Haiti",2
"51","Honduras",1
"52","Hungary",1
"53","Iceland",3
"54","India",1
"55","Indonesia",1
"56","Iran, Islamic Rep.",2
"57","Iraq",2
"58","Ireland",3
"59","Israel",3
"60","Italy",3
"61","Japan",3
"62","Jordan",2
"63","Kazakhstan",4
"64","Kenya",1
"65","Korea, Rep.",4
"66","Kuwait",2
"67","Latvia",4
"68","Lebanon",2
"69","Libya",2
"70","Lithuania",4
"71","Luxembourg",3
"72","Madagascar",1
"73","Malawi",1
"74","Malaysia",1
"75","Mali",1
"76","Malta",3
"77","Mauritania",1
"78","Mexico",1
"79","Moldova",4
"80","Mongolia",4
"81","Montenegro",4
"82","Morocco",2
"83","Myanmar",1
"84","Nepal",1
"85","Netherlands",3
"86","New Zealand",3
"87","Nicaragua",1
"88","Niger",1
"89","Nigeria",1
"90","North Macedonia",1
"91","Norway",3
"92","Pakistan",1
"93","Panama",1
"94","Paraguay",2
"95","Peru",1
"96","Philippines",1
"97","Poland",1
"98","Portugal",3
"99","Qatar",2
"100","Romania",1
"101","Russian Federation",4
"102","Rwanda",1
"103","Saudi Arabia",2
"104","Senegal",1
"105","Serbia",1
"106","Slovenia",4
"107","South Africa",4
"108","Spain",3
"109","Sri Lanka",1
"110","Sudan",2
"111","Suriname",4
"112","Sweden",3
"113","Switzerland",3
"114","Tajikistan",1
"115","Tanzania",1
"116","Thailand",1
"117","Tunisia",2
"118","Turkey",2
"119","Uganda",1
"120","Ukraine",4
"121","United Arab Emirates",2
"122","United Kingdom",3
"123","United States",3
"124","Uruguay",3
"125","Uzbekistan",1
"126","Vietnam",1
"127","Zambia",1
"128","Zimbabwe",4
