"","Country","Year","Suicide_Male","Suicide_Female","Suicide_All","UP_male","UP_female","UP_all","GDP_growth","GDP","Depression","AlcoholUse","happiness","Schizophrenia","Bipolar","Eating","Anxiety","DrugUse","HDIRank"
"1","Afghanistan","2016",4.4,3.6,4,10.57,14.33,11.31,2.26031420130452,70097956090.3269,4.13569434555,0.661850330748,3.656834,0.166035374114,0.707685928364,0.105807560202,4.87887504114,2.51355340535,169
"2","Afghanistan","2017",4.6,3.4,4.1,10.42,14.09,11.18,2.64700320195786,74711922904.5459,4.13634710028,0.661217393723,3.6726887,0.166157851965,0.708088873434999,0.107142265558,4.88248127473,2.47393386897,169
"3","Afghanistan","2018",4.6,3.5,4.1,10.29,13.92,11.06,1.18922812838034,77415569871.3194,4.13699985501,0.660584456698,3.6885434,0.166280329816,0.708491818505998,0.108476970914,4.88608750832,2.43431433259,169
"4","Afghanistan","2019",4.6,3.6,4.1,10.19,13.81,10.98,3.911603419423,81879802966.4111,4.13765260974,0.659951519673,3.7043981,0.166402807667,0.708894763576997,0.10981167627,4.88969374191,2.39469479621,169
"5","Albania","2016",6.3,3.1,4.7,16.12,14.45,15.42,3.31480475341897,34739850853.7913,2.20650676665,1.84597222256,4.2584705,0.200844850056,0.704335235226,0.172626586124,3.38689141839,0.515035542843,69
"6","Albania","2017",6.3,2.9,4.7,14.41,12.48,13.62,3.80219748796804,36696847617.1258,2.20841419824,1.8379547399,4.0137401,0.201025478973,0.704479655103,0.174046095006,3.38524453734,0.517613960393,69
"7","Albania","2018",6.2,2.8,4.5,12.62,11.87,12.3,4.07130129479023,38829309990.0856,2.21032162983,1.82993725724,3.7690097,0.20120610789,0.70462407498,0.175465603888,3.38359765629,0.520192377943,69
"8","Albania","2019",5.9,2.7,4.3,11.58,11.31,11.47,2.17369228814495,40598221872.0758,2.21222906142,1.82191977458,3.5242793,0.201386736807,0.704768494857,0.17688511277,3.38195077524,0.522770795493,69
"9","Algeria","2016",3.2,1.9,2.6,8.21,18.32,10.2,3.20000000006691,471383266569.55,3.64781677971,0.665681326614,4.981802,0.19783596504,0.818314993743,0.212734959750999,5.06223321319,1.71402504648,91
"10","Algeria","2017",3.1,1.9,2.5,9.79,20.62,12,1.29999999991843,485801959708.226,3.66109449605,0.665190886031,4.8628435,0.197913139914999,0.818687152645,0.213612216088,5.06587568443,1.71721825543,91
