,Country,2016.Suicide_male,2017.Suicide_male,2018.Suicide_male,2019.Suicide_male,2016.Suicide_female,2017.Suicide_female,2018.Suicide_female,2019.Suicide_female,2016.Suicide_all,2017.Suicide_all,2018.Suicide_all,2019.Suicide_all,2016.UP_male,2017.UP_male,2018.UP_male,2019.UP_male,2016.UP_female,2017.UP_female,2018.UP_female,2019.UP_female,2016.UP_all,2017.UP_all,2018.UP_all,2019.UP_all,2020.UP_all,2016.literacy_male,2017.literacy_male,2018.literacy_male,2019.literacy_male,2020.literacy_male,2016.literacy_female,2017.literacy_female,2018.literacy_female,2019.literacy_female,2020.literacy_female,2016.literacy_all,2017.literacy_all,2018.literacy_all,2019.literacy_all,2020.literacy_all,2016.growth,2017.growth,2018.growth,2019.growth,2020.growth,2016.GDP,2017.GDP,2018.GDP,2019.GDP,Happiness 2016,Happiness 2017,Happiness 2018,Happiness 2019,Happiness 2020
1,Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.59999847,NA,NA,NA,NA,97.81268311,NA,NA,NA,NA,97.80741882,NA,NA,2.099999586,1.999999104,NA,NA,NA,3917952211,4050523376,NA,NA,NA,NA,NA,NA,NA
3,Afghanistan,4.4,4.6,4.6,4.6,3.6,3.4,3.5,3.6,4,4.1,4.1,4.1,10.57,10.42,10.29,10.19,14.33,14.09,13.92,13.81,11.31,11.18,11.06,10.98,11.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.260314201,2.647003202,1.189228128,3.911603419,-1.934778249,70097956090,74711922905,77415569871,81879802966,3.656834,3.6726887,3.6885434,3.7043981,3.7202528
5,Angola,10,9.7,9.8,10,2.6,2.4,2.3,2.3,6.2,6,6,6.1,6.9,6.78,6.72,6.63,7.5,7.41,7.28,7.22,7.2,7.1,7,6.93,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.580049644,-0.147212941,-2.003629727,-0.624644318,-4.04051,2.04875E+11,2.17987E+11,2.18749E+11,2.19774E+11,4.323945,4.3836384,4.4433318,4.5030252,4.5627186
6,Albania,6.3,6.3,6.2,5.9,3.1,2.9,2.8,2.7,4.7,4.7,4.5,4.3,16.12,14.41,12.62,11.58,14.45,12.48,11.87,11.31,15.42,13.62,12.3,11.47,11.7,NA,NA,99.05000305,NA,NA,NA,NA,97.76112366,NA,NA,NA,NA,98.14115143,NA,NA,3.314804753,3.802197488,4.071301295,2.173692288,-3.311239444,34739850854,36696847617,38829309990,40598221872,4.2584705,4.0137401,3.7690097,3.5242793,3.2795489
7,Andorra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.70967807,0.34607189,1.58876549,2.015547638,-11.95605842,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,United Arab Emirates,7.3,6.8,7.4,8,2.9,2.8,2.9,3,6,5.6,6,6.4,1.12,1.48,1.39,1.42,4.2,7.14,6.19,6.33,1.64,2.46,2.23,2.28,5,NA,NA,NA,97.48996735,NA,NA,NA,NA,96.86031342,NA,NA,NA,NA,97.55692291,NA,3.060964308,2.37353671,1.189855638,1.677720373,NA,5.98811E+11,6.37385E+11,6.60454E+11,6.83523E+11,6.229442,6.0265217,5.8236014,5.6206811,5.4177608
10,Argentina,13.7,14.5,15.1,13.7,3.1,3.5,3.6,3.3,8.3,8.9,9.2,8.4,7.12,7.53,8.23,9.19,9.14,9.46,10.54,10.7,7.97,8.35,9.22,9.84,11.67,99.38448334,NA,99.24182892,NA,NA,99.14309692,NA,99.06204224,NA,NA,99.12500763,NA,99.0038681,NA,NA,-2.080327844,2.818502978,-2.565351882,-2.088014861,-9.905234856,8.85228E+11,1.03933E+12,1.03698E+12,1.03345E+12,6.7984945,6.8760031,6.9535117,7.0310203,7.1085289
11,Armenia,9.2,5.5,3.4,5.6,2.6,0.7,0.9,1.3,5.7,3,2.1,3.3,17.73,17.91,17.83,17.65,17.48,17.47,20.4,20.27,17.62,17.71,18.97,18.81,20.21,NA,99.82128143,NA,NA,99.85205841,NA,99.67716217,NA,NA,99.74450684,NA,99.73606873,NA,NA,99.78861237,0.2,7.500000002,5.2,7.599999999,-7.6,31429192104,35676528915,38432837650,42091960117,4.4150055,4.4411771,4.4673487,4.4935203,4.5196919
12,American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.679389313,-6.98757764,3.338898164,-1.453957997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Antigua and Barbuda,0,0,0,0,1,0,0.7,0.8,0.5,0,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.497788456,3.144598617,6.950416555,3.351160885,-15.97350964,1882863522,1893259104,2073464728,2181204770,NA,NA,NA,NA,NA
14,Australia,18,19.5,18.7,18.6,6.4,6.9,6.2,6.4,12.2,13.1,12.4,12.5,5.65,5.53,5.28,5.21,5.78,5.67,5.32,5.11,5.71,5.59,5.3,5.16,6.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.770652197,2.300610624,2.949285772,2.160956295,-0.284839298,1.1452E+12,1.19276E+12,1.25545E+12,1.32417E+12,7.355543,7.3820236,7.4085042,7.4349848,7.4614654
15,Austria,23.6,24.5,24.9,22.8,7.7,6.6,6.9,6.7,15.5,15.4,15.7,14.6,6.43,5.91,5.02,4.61,5.54,5.03,4.65,4.35,6.01,5.5,4.85,4.49,5.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.989437162,2.399587603,2.580120733,1.418734272,-6.259034819,4.60283E+11,4.76564E+11,5.04355E+11,5.20804E+11,6.8511025,6.6989496,6.5467967,6.3946438,6.2424909
